code_module,code_presentation,missing_rate,median_submission_delay_days,eligible_student_assessments
AAA,2013J,0.1472584856396867,0.0,1915
AAA,2014J,0.16931506849315067,0.0,1825
BBB,2013B,0.4208982867726501,2.0,19437
BBB,2013J,0.4158166375421628,2.0,24607
BBB,2014B,0.43679197429972383,2.0,17743
BBB,2014J,0.35357766143106456,-1.0,11460
CCC,2014B,0.5646952479338843,2.0,15488
CCC,2014J,0.4854383506805444,2.0,19984
DDD,2013B,0.423165476120196,2.0,16939
DDD,2013J,0.40075679394564845,-1.0,11628
DDD,2014B,0.4546688382193268,0.0,7368
DDD,2014J,0.34710667406174894,-1.0,10818
EEE,2013J,0.314638783269962,-1.0,4208
EEE,2014B,0.35878962536023057,-1.0,2776
EEE,2014J,0.320496632996633,-1.0,4752
FFF,2013B,0.37035315985130113,-4.0,19368
FFF,2013J,0.40721273178566214,-5.0,27396
FFF,2014B,0.4335555555555556,-4.0,18000
FFF,2014J,0.42973925299506693,-6.0,28380
GGG,2013J,0.3055555555555556,-14.0,8568
GGG,2014B,0.3469387755102041,-12.0,7497
GGG,2014J,0.35128319240468775,-13.0,6741
