dimension,group,model,split,n,prevalence,precision,recall,f1,accuracy,roc_auc,pr_auc,brier,flag_rate
course_week,0,calibrated_logistic_regression,test,10154,0.2336025211739216,0.9572649572649573,0.047217537942664416,0.08999598232221777,0.7769351979515462,0.6802416058938278,0.41155925415806066,0.1671895368797059,0.011522552688595627
course_week,1,calibrated_logistic_regression,test,9332,0.18741963137591083,0.9907834101382489,0.12292738707833048,0.2187182095625636,0.8354050578654093,0.7412824660379393,0.4645623467053884,0.1311212111155197,0.02325332190312902
course_week,2,calibrated_logistic_regression,test,9291,0.1723172963082553,0.3562559694364852,0.23297938788257339,0.28172205438066467,0.7952857604133032,0.66768156930527,0.27025406286302867,0.15255916049476012,0.11268969970939618
course_week,3,calibrated_logistic_regression,test,9213,0.18788668186258548,0.4247856586126267,0.3148469093009821,0.36164565361645656,0.7911646586345381,0.7237299424260436,0.3569994773962005,0.1507679801259545,0.1392597416693802
course_week,4,calibrated_logistic_regression,test,9096,0.17491204925241866,0.4779834077855775,0.47077309868007544,0.4743508549715009,0.8175021987686896,0.7974318399089483,0.49366302349093316,0.13103080355857083,0.172273526824978
course_week,5,calibrated_logistic_regression,test,9041,0.18073221988718063,0.4914933837429111,0.4773561811505508,0.4843216392424713,0.8162813848025661,0.8158206228882369,0.5533904821890985,0.128326938316586,0.17553367990266563
course_week,6,calibrated_logistic_regression,test,8979,0.17529791736273528,0.5038659793814433,0.49682337992376113,0.5003198976327575,0.8260385343579463,0.8310937268080996,0.5661824584449495,0.1232902218958439,0.17284775587481901
course_week,7,calibrated_logistic_regression,test,8878,0.20207253886010362,0.6947133283693224,0.520066889632107,0.5948358304112209,0.8568371254787114,0.8489647167577223,0.6882545702735772,0.10725265240735889,0.1512728091912593
course_week,8,calibrated_logistic_regression,test,8791,0.2143100898646343,0.7111416781292985,0.5488322717622081,0.6195326542840024,0.8555340689341372,0.8559501622557748,0.7091957842507063,0.10822838180056482,0.16539642816516892
course_week,9,calibrated_logistic_regression,test,8702,0.2639623075155137,0.7622422680412371,0.5150195907705704,0.6147051182125228,0.829579407032866,0.8405172276094435,0.7363878204403322,0.12387393303075174,0.17834980464261088
course_week,10,calibrated_logistic_regression,test,8608,0.25604089219330856,0.7115044247787611,0.5471869328493648,0.6186201590151321,0.827253717472119,0.849554738927916,0.7347613948443783,0.121249942587187,0.19690985130111524
course_week,11,calibrated_logistic_regression,test,8570,0.2527421236872812,0.6955337690631809,0.5895660203139428,0.6381809095452274,0.8310385064177362,0.8589005140485257,0.7423218642649292,0.11977492524978205,0.21423570595099184
course_week,12,calibrated_logistic_regression,test,8531,0.24932598757472746,0.7450030284675954,0.5782792665726375,0.6511381683430386,0.8455046301723127,0.8718822010338507,0.7567151304702623,0.11326647381320896,0.19352948071738366
code_module,AAA,calibrated_logistic_regression,test,4457,0.12317702490464438,0.8209876543209876,0.24225865209471767,0.3741209563994374,0.9001570563159076,0.7974431971780831,0.5465162650943901,0.07972345166215451,0.036347318824321295
code_module,BBB,calibrated_logistic_regression,test,23067,0.2008930506784584,0.31629916567342076,0.45813552006905484,0.374228803102415,0.6922009797546278,0.6761339010291,0.40957464458875353,0.20536605825464785,0.2909784540685828
code_module,CCC,calibrated_logistic_regression,test,25075,0.3078364905284148,0.7315292096219931,0.44124886643347583,0.5504646464646464,0.7781455633100698,0.8023707547554857,0.6955343362994588,0.15912118483402812,0.18568295114656033
code_module,DDD,calibrated_logistic_regression,test,18688,0.1753531678082192,0.8523755656108597,0.45987183399450715,0.5974231912784936,0.8913206335616438,0.8640573779410483,0.7055350302654988,0.08757847627836386,0.09460616438356165
code_module,EEE,calibrated_logistic_regression,test,13052,0.1757585044437634,0.8940397350993378,0.4119442022667829,0.5640107430617727,0.8880631320870365,0.8687037387314449,0.7209210339218731,0.08757361423295834,0.080983757278578
code_module,FFF,calibrated_logistic_regression,test,23735,0.18479039393301033,0.9249502982107356,0.42430460556315547,0.5817442950922164,0.8872551084895723,0.8809655977866135,0.7405507070879095,0.08832727555616587,0.08476932799662945
code_module,GGG,calibrated_logistic_regression,test,9112,0.20467515364354696,0.8314606741573034,0.23806970509383377,0.37015423092955396,0.8341747146619842,0.7289040745713027,0.5010775101134162,0.1367700351225248,0.058604038630377525
code_presentation,2014J,calibrated_logistic_regression,test,117186,0.2109808338880071,0.6164723980829536,0.42141239281669635,0.5006126126126126,0.8226153294762173,0.8004939333075072,0.5939497869924096,0.1297496614147775,0.1442237127301896
gender,F,calibrated_logistic_regression,test,49440,0.20054611650485438,0.4543556431968449,0.3950579929399899,0.42263703064307295,0.7835355987055016,0.7416768477664194,0.47445657112246964,0.15393058757057998,0.17437297734627832
gender,M,calibrated_logistic_regression,test,67746,0.21859593186313583,0.7852657004830917,0.4390573300020258,0.5632119190956733,0.8511351223688484,0.8413063321320031,0.6904496219631757,0.11210278943498722,0.12222123815428217
age_band,0-35,calibrated_logistic_regression,test,80354,0.22105931254200165,0.6382891049942311,0.4360186905365085,0.5181121851690805,0.820705876496503,0.8042937180363436,0.6154299607905853,0.13116902531691277,0.15100679493242403
age_band,35-55,calibrated_logistic_regression,test,35738,0.18870669875202864,0.5597254986060476,0.38701067615658363,0.45761374594547205,0.8268789523756226,0.7893933458724353,0.5380295812918294,0.12683412585284123,0.13047736303094745
age_band,55<=,calibrated_logistic_regression,test,1094,0.1983546617915905,0.6153846153846154,0.29493087557603687,0.3987538940809968,0.823583180987203,0.8344403049776942,0.5884665204344895,0.12074037706404935,0.09506398537477148
