feature,coefficient,odds_ratio
categorical__code_module_AAA,-0.8102052290526828,0.4447667777912715
numeric__active_days_14d,-0.60562361161091,0.5457339944466026
numeric__mean_score_to_date,-0.5447316314713525,0.5799974155085437
categorical__code_module_GGG,-0.5039497613624249,0.6041397332505806
categorical__presentation_term_J,-0.25813672948416755,0.772489602780858
numeric__distinct_sites_14d,-0.21090296078326234,0.8098526505352474
numeric__submissions_to_date,-0.17768184554237304,0.8372087428146721
categorical__code_module_BBB,-0.16298380736560272,0.8496049456454741
numeric__engagement_change,-0.10256596480044487,0.902518613329067
numeric__weighted_score_to_date,-0.08833014379401041,0.9154585938542301
numeric__clicks_7d,-0.07595919307414782,0.926854027851282
numeric__clicks_14d,-0.030493947464107826,0.969966302805306
categorical__presentation_term_B,-0.026378950977744623,0.9739659343241869
numeric__clicks_prior_7d,0.02381574337735826,1.0241016030025603
numeric__days_since_activity,0.12293576175647587,1.1308117772519355
numeric__clicks_to_date,0.1679218656014911,1.1828441862180743
categorical__code_module_EEE,0.24388427213391445,1.2761966304303678
categorical__code_module_DDD,0.2530440920347657,1.287940063480757
categorical__code_module_FFF,0.6956947531500078,2.005101640821094
numeric__missing_due_to_date,1.3968825470160888,4.0425777564039045
