model,split,n,prevalence,precision,recall,f1,accuracy,roc_auc,pr_auc,brier,flag_rate
prevalence_baseline,validation,82125,0.27349771689497715,0.0,0.0,0.0,0.7265022831050229,0.5,0.27349771689497715,0.2014751264527798,0.0
prevalence_baseline,test,117186,0.2109808338880071,0.0,0.0,0.0,0.7890191661119929,0.5,0.2109808338880071,0.1665640841826974,0.0
sql_rule_baseline,validation,82125,0.27349771689497715,0.35270070109607976,0.7951115266461867,0.4886450694976469,0.5448645357686454,0.622884269625051,0.33647292257804967,0.45513546423135465,0.6165601217656013
sql_rule_baseline,test,117186,0.2109808338880071,0.26948061078147406,0.77519818799547,0.3999332262170565,0.5092075845237486,0.6066404298978886,0.25632975493396193,0.4907924154762514,0.606915501851757
logistic_regression,validation,82125,0.27349771689497715,0.5568285204030057,0.7357196919104225,0.6338946641604971,0.7675738203957382,0.8380396010216165,0.7435549029724681,0.16600502588754443,0.36136377473363773
logistic_regression,test,117186,0.2109808338880071,0.4633711073436245,0.6301164860055007,0.5340303367897848,0.7680012970832694,0.8004939333075072,0.5939497869924096,0.1732150808331506,0.28690287235676615
decision_tree,validation,82125,0.27349771689497715,0.5136869757306188,0.7661279551222119,0.6150107219442459,0.7376681887366819,0.8309053468519774,0.7167208268821195,0.15837818214778632,0.40790258751902586
decision_tree,test,117186,0.2109808338880071,0.41194731676139607,0.7299385212748746,0.5266659857295026,0.7231836567508064,0.7969182957370952,0.5965757618011005,0.1749682012467437,0.3738415851722902
gradient_boosted_tree,validation,82125,0.27349771689497715,0.7891293081109095,0.5423177952896131,0.6428477188167929,0.8351902587519026,0.85258005767549,0.7667816037591033,0.12016879363964388,0.18795738203957382
gradient_boosted_tree,test,117186,0.2109808338880071,0.6118832714989756,0.4469341530496683,0.5165603160133698,0.8235028075026027,0.8123670813877615,0.6416334537813644,0.12271254380347561,0.15410543921628864
calibrated_logistic_regression,test,117186,0.2109808338880071,0.6164723980829536,0.42141239281669635,0.5006126126126126,0.8226153294762173,0.8004939333075072,0.5939497869924096,0.1297496614147775,0.1442237127301896
