feature,importance_mean,importance_std
missing_due_to_date,0.26078132631972345,0.0018024648851747982
mean_score_to_date,0.07115232431836083,0.0073513752103869295
weighted_score_to_date,0.03353590538732846,0.006249981705876496
code_module,0.029334272427411563,0.004996784358593509
clicks_7d,0.015428705737295637,0.0014037576985109078
active_days_14d,0.014068700486086586,0.0014813610850159093
clicks_to_date,0.01177233606341758,0.0015563947928659138
clicks_14d,0.010067764207440896,0.0023567881168182836
submissions_to_date,0.00784681776782418,0.0006865761331240764
days_since_activity,0.006937314052368304,0.0004358383818152364
distinct_sites_14d,0.000700712899558309,0.0005465105496278298
clicks_prior_7d,0.00019332445546627053,4.807716806879785e-05
presentation_term,0.0,0.0
engagement_change,-2.505295384935824e-05,0.00035648116653878067
