threshold,records_flagged,flag_rate,precision,recall,true_alerts,false_alerts,false_alerts_per_true_alert,median_true_alert_lead_days
0.1,73680,0.6287440479238134,0.3014250814332248,0.8982769778353017,22209,51471,2.31757395650412,20.0
0.15000000000000002,53640,0.45773385899339514,0.36881058911260256,0.8001536968128135,19783,33857,1.711418895010868,21.0
0.2,39463,0.33675524380045396,0.4324303778222639,0.6902200291215014,17065,22398,1.3125109874011134,21.0
0.25,30462,0.2599457273053095,0.4843083185608299,0.596707652483417,14753,15709,1.0648003795838135,25.0
0.30000000000000004,25749,0.21972761251344017,0.5210687793700727,0.5426710888205792,13417,12332,0.9191324439144369,25.0
0.35,22699,0.19370061270117592,0.5493193532754747,0.5043277786765895,12469,10230,0.8204346780014435,25.0
0.4,20189,0.17228167187206664,0.5740254594085888,0.4687348325513671,11589,8600,0.7420830097506256,26.0
0.45000000000000007,18433,0.15729694673425154,0.5951283025009494,0.4436984306746481,10970,7463,0.680309936189608,26.0
0.5,16901,0.1442237127301896,0.6164723980829536,0.42141239281669635,10419,6482,0.6221326422881275,26.0
0.55,15415,0.131543017083952,0.6376256892637042,0.3975489403009222,9829,5586,0.5683182419371249,26.0
0.6,14012,0.11957059717031045,0.6593634027976021,0.37368548778514804,9239,4773,0.5166143522026193,26.0
0.65,12569,0.10725683955421296,0.6820749462964436,0.34674809901310466,8573,3996,0.4661145456666278,26.0
0.7000000000000001,10960,0.09352653047292339,0.7066605839416058,0.31325837243164534,7745,3215,0.41510652033570045,26.0
0.75,9232,0.07878074172682743,0.7429592720970537,0.2774227471282964,6859,2373,0.34596880011663506,26.0
0.8,7306,0.06234533135357466,0.8005748699698878,0.23657175214366608,5849,1457,0.24910241066849034,26.0
0.85,5420,0.0462512586827778,0.8904059040590406,0.19519495227309497,4826,594,0.12308329879817655,26.0
0.9,4187,0.03572952400457392,0.9567709577262957,0.16202879792913769,4006,181,0.04518222666000998,27.0
