code_module,code_presentation,course_week,active_student_attempts,median_clicks,p75_clicks,mean_active_days
AAA,2013J,0,337,75.0,140.0,3.60
AAA,2013J,1,341,75.0,149.0,3.79
AAA,2013J,2,357,93.0,161.0,4.18
AAA,2013J,3,305,53.0,100.0,3.69
AAA,2013J,4,315,49.0,84.0,3.61
AAA,2013J,5,312,43.0,86.0,3.31
AAA,2013J,6,318,39.5,80.0,3.18
AAA,2013J,7,339,47.0,91.0,3.55
AAA,2013J,8,281,29.0,68.0,3.27
AAA,2013J,9,272,26.0,53.5,3.26
AAA,2013J,10,236,25.5,68.25,3.08
AAA,2013J,11,181,20.0,52.0,2.52
AAA,2013J,12,226,21.5,56.75,2.70
AAA,2014J,0,301,67.0,133.0,3.49
AAA,2014J,1,313,61.0,126.0,3.59
AAA,2014J,2,330,83.0,151.0,4.11
AAA,2014J,3,278,54.0,106.0,3.64
AAA,2014J,4,279,49.0,100.5,3.51
AAA,2014J,5,278,42.0,95.0,3.25
AAA,2014J,6,283,47.0,96.5,3.30
AAA,2014J,7,306,46.5,95.5,3.51
AAA,2014J,8,234,33.5,72.75,3.15
AAA,2014J,9,236,21.0,56.25,2.94
AAA,2014J,10,205,29.0,66.0,2.73
AAA,2014J,11,149,23.0,58.0,2.32
AAA,2014J,12,188,30.0,60.0,2.49
BBB,2013B,0,1243,46.0,93.0,2.86
BBB,2013B,1,1193,38.0,72.0,2.89
BBB,2013B,2,1326,41.0,79.0,3.35
BBB,2013B,3,1154,25.0,55.0,3.14
BBB,2013B,4,1128,29.0,60.0,3.03
BBB,2013B,5,1052,28.0,55.0,2.79
BBB,2013B,6,1170,33.0,67.75,3.17
BBB,2013B,7,1063,30.0,60.0,2.95
BBB,2013B,8,906,18.0,42.0,2.68
BBB,2013B,9,898,16.0,34.0,2.47
BBB,2013B,10,851,22.0,51.0,2.43
BBB,2013B,11,895,24.0,46.0,2.36
BBB,2013B,12,1058,27.0,51.0,2.72
BBB,2013J,0,1372,33.0,66.0,2.71
BBB,2013J,1,1324,29.0,59.0,2.73
BBB,2013J,2,1491,29.0,57.5,2.92
BBB,2013J,3,1259,17.0,37.5,2.76
BBB,2013J,4,1289,24.0,51.0,2.69
BBB,2013J,5,1176,25.0,51.0,2.65
BBB,2013J,6,1377,26.0,50.0,2.85
BBB,2013J,7,1289,28.0,50.0,2.80
BBB,2013J,8,1050,16.5,38.0,2.63
BBB,2013J,9,876,18.0,36.0,2.28
BBB,2013J,10,748,16.0,34.0,2.11
BBB,2013J,11,550,14.0,26.0,1.72
BBB,2013J,12,924,18.0,35.0,2.05
BBB,2014B,0,965,30.0,68.0,2.64
BBB,2014B,1,1030,30.0,63.0,2.91
BBB,2014B,2,919,18.0,42.0,2.75
BBB,2014B,3,857,25.0,54.0,2.81
BBB,2014B,4,806,24.0,48.0,2.51
BBB,2014B,5,961,25.0,52.0,2.78
BBB,2014B,6,892,25.0,46.0,2.58
BBB,2014B,7,759,16.0,35.0,2.47
BBB,2014B,8,661,14.0,35.0,2.24
BBB,2014B,9,601,18.0,36.0,2.21
BBB,2014B,10,692,20.0,41.0,2.17
BBB,2014B,11,914,25.0,48.0,2.71
BBB,2014B,12,685,11.0,28.0,2.45
BBB,2014J,0,1476,33.0,66.0,2.41
BBB,2014J,1,1392,26.0,55.0,2.17
BBB,2014J,2,1534,23.0,52.0,2.23
BBB,2014J,3,1329,20.0,46.0,2.32
BBB,2014J,4,1264,26.0,54.0,2.25
BBB,2014J,5,1188,35.0,74.0,2.28
BBB,2014J,6,1170,34.0,70.0,2.10
BBB,2014J,7,1323,20.0,44.0,2.31
BBB,2014J,8,1021,14.0,35.0,2.22
BBB,2014J,9,898,14.0,28.0,2.03
BBB,2014J,10,413,9.0,22.0,1.53
BBB,2014J,11,656,15.0,32.0,1.80
BBB,2014J,12,1098,22.0,51.75,2.13
CCC,2014B,0,1387,32.0,91.0,2.91
CCC,2014B,1,1358,42.0,106.0,2.92
CCC,2014B,2,1464,90.0,159.25,3.29
CCC,2014B,3,1202,22.0,56.75,2.92
CCC,2014B,4,1283,31.0,69.5,3.40
CCC,2014B,5,1067,16.0,47.0,2.90
CCC,2014B,6,953,16.0,45.0,2.71
CCC,2014B,7,919,15.0,56.0,2.55
CCC,2014B,8,918,28.0,78.0,2.62
CCC,2014B,9,1066,89.0,152.0,3.29
CCC,2014B,10,739,9.0,30.5,2.32
CCC,2014B,11,726,10.0,33.0,2.20
CCC,2014B,12,769,12.0,34.0,2.38
CCC,2014J,0,1801,34.0,93.0,2.91
CCC,2014J,1,1806,50.0,115.75,2.96
CCC,2014J,2,1983,88.0,152.0,3.26
CCC,2014J,3,1673,23.0,60.0,2.77
CCC,2014J,4,1829,30.0,66.0,3.24
CCC,2014J,5,1484,16.0,50.0,2.88
CCC,2014J,6,1292,17.0,57.0,2.70
CCC,2014J,7,1267,18.0,58.0,2.53
CCC,2014J,8,1332,29.0,78.0,2.65
CCC,2014J,9,1575,76.0,123.0,3.15
CCC,2014J,10,965,9.0,30.0,2.20
CCC,2014J,11,644,9.0,30.25,2.02
CCC,2014J,12,848,8.0,29.0,2.07
DDD,2013B,0,1039,52.0,97.0,3.55
DDD,2013B,1,987,47.0,89.5,3.48
DDD,2013B,2,1018,57.0,116.75,3.74
